id,name,bizTag,meta.Project,meta.Version,meta.Resource,meta.Name,detail,chargingMethod,fullDose,fullPath,url,orderMark,supportAppTypes,tags,updateTime,isCharge,meta.Type,docPath
6979790924691996674,获取门禁记录列表,acs,acs,v1,access_record,list,用户在门禁考勤机上成功开门或打卡后，智能门禁应用都会生成一条门禁记录。,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/access_record/list,GET:/open-apis/acs/v1/access_records,3,"[""isv"", ""custom""]",[],1671441948,false,1,https://open.feishu.cn/document/server-docs/acs-v1/access_record/list
6979790924692029442,下载开门时的人脸识别图片,acs,acs,v1,access_record.access_photo,get,用户在门禁考勤机上成功开门或打卡后，智能门禁应用都会生成一条门禁记录，对于使用人脸识别方式进行开门的识别记录，还会有抓拍图。,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/access_record-access_photo/get,GET:/open-apis/acs/v1/access_records/:access_record_id/access_photo,2,"[""isv"", ""custom""]",[],1671441948,false,1,https://open.feishu.cn/document/server-docs/acs-v1/access_record/get
6979790924691980290,获取门禁设备列表,acs,acs,v1,device,list,使用该接口获取租户内所有门禁设备。{尝试一下}(url=/api/tools/api_explore/api_explore_config?project=acs&version=v1&resource=device&method=list),none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/device/list,GET:/open-apis/acs/v1/devices,1625025074461,"[""isv"", ""custom""]",[],1671441948,false,1,https://open.feishu.cn/document/server-docs/acs-v1/device/list
7321978105899122716,创建或更新权限组,acs,acs,v1,rule_external,create,创建或更新权限组,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/rule_external/create,POST:/open-apis/acs/v1/rule_external,1704706443154,"[""isv"", ""custom""]",[],1704791458,false,1,https://open.feishu.cn/document/acs-v1/rule_external/create
7321978105899106332,删除权限组,acs,acs,v1,rule_external,delete,删除权限组,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/rule_external/delete,DELETE:/open-apis/acs/v1/rule_external,1704706788617,"[""isv"", ""custom""]",[],1704791446,false,1,https://open.feishu.cn/document/acs-v1/rule_external/delete
7321978105899073564,设备绑定权限组,acs,acs,v1,rule_external,device_bind,设备绑定权限组,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/rule_external/device_bind,POST:/open-apis/acs/v1/rule_external/device_bind,1704706869003,"[""isv"", ""custom""]",[],1704791422,false,1,https://open.feishu.cn/document/acs-v1/rule_external/device_bind
7321978105899089948,获取权限组信息,acs,acs,v1,rule_external,get,获取权限组信息,none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/rule_external/get,GET:/open-apis/acs/v1/rule_external,1704706834688,"[""isv"", ""custom""]",[],1704791434,false,1,https://open.feishu.cn/document/acs-v1/rule_external/get
6987691292973875201,获取单个用户信息,acs,acs,v1,user,get,该接口用于获取智能门禁中单个用户的信息。{尝试一下}(url=/api/tools/api_explore/api_explore_config?project=acs&version=v1&resource=user&method=get),none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/user/get,GET:/open-apis/acs/v1/users/:user_id,5,"[""isv"", ""custom""]",[],1628238375,false,1,https://open.feishu.cn/document/server-docs/acs-v1/user/get
6987691292973891585,获取用户列表,acs,acs,v1,user,list,使用该接口获取智能门禁中所有用户信息。{尝试一下}(url=/api/tools/api_explore/api_explore_config?project=acs&version=v1&resource=user&method=list),none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/user/list,GET:/open-apis/acs/v1/users,4,"[""isv"", ""custom""]",[],1671441936,false,1,https://open.feishu.cn/document/server-docs/acs-v1/user/list
6979790924691963906,修改用户部分信息,acs,acs,v1,user,patch,飞书智能门禁在人脸识别成功后会有韦根信号输出，输出用户的卡号。 对于使用韦根协议的门禁系统，企业可使用该接口录入用户卡号。{尝试一下}(url=/api/tools/api_explore/api_explore_config?project=acs&version=v1&resource=user&method=patch),none,true,/document/uAjLw4CM/ukTMukTMukTM/acs-v1/user/patch,PATCH:/open-apis/acs/v1/users/:user_id,6,"[""isv"", ""custom""]",[],1671441936,false,1,https://open.feishu.cn/document/server-docs/acs-v1/user/patch
